292,1.648985,0
293,1.533817,1
294,1.719860,2
295,1.477470,3
296,1.649749,0
297,1.535122,1
298,1.723689,2
299,1.481887,3
300,1.652068,0
301,1.533574,1
302,1.721340,2
303,1.477721,3
304,1.650624,0
305,1.535837,1
306,1.718467,2
307,1.483999,3
308,1.651135,0
309,1.531195,1
310,1.721106,2
311,1.479185,3
312,1.650003,0
313,1.535932,1
314,1.720781,2
315,1.475922,3
316,1.647683,0
317,1.536545,1
318,1.722602,2
319,1.483806,3
320,1.653606,0
321,1.530889,1
322,1.721539,2
323,1.476167,3
324,1.653227,0
325,1.535507,1
326,1.717718,2
327,1.484020,3
328,1.651288,0
329,1.531218,1
330,1.720587,2
331,1.478538,3
332,1.650223,0
333,1.534070,1
334,1.722747,2
335,1.477153,3
336,1.650635,0
337,1.538628,1
338,1.718346,2
339,1.480421,3
340,1.650404,0
341,1.533621,1
342,1.721296,2
343,1.480194,3
344,1.648112,0
345,1.538524,1
346,1.721583,2
347,1.479666,3
348,1.648727,0
349,1.533431,1
350,1.722462,2
351,1.479707,3
352,1.650919,0
353,1.534631,1
354,1.721233,2
355,1.479768,3
356,1.651528,0
357,1.534634,1
358,1.721659,2
359,1.481345,3
360,1.649767,0
361,1.533280,1
362,1.718120,2
363,1.478519,3
364,1.648031,0
365,1.536732,1
366,1.719907,2
367,1.483140,3
368,1.654559,0
369,1.535048,1
370,1.716904,2
371,1.479237,3
372,1.649849,0
373,1.532023,1
374,1.719499,2
375,1.480574,3
376,1.649081,0
377,1.533463,1
378,1.718482,2
379,1.483573,3
380,1.649681,0
381,1.533340,1
382,1.719254,2
383,1.481909,3
384,1.648631,0
385,1.535964,1
386,1.721456,2
387,1.481498,3
388,1.652799,0
389,1.533899,1
390,1.722265,2
391,1.478414,3
392,1.649207,0
393,1.537392,1
394,1.721645,2
395,1.480004,3
396,1.647617,0
397,1.536123,1
398,1.718739,2
399,1.478152,3
400,1.648704,0
401,1.535493,1
402,1.715758,2
403,1.480722,3
404,1.650348,0
405,1.533831,1
406,1.722074,2
407,1.481223,3
408,1.648787,0
409,1.533660,1
410,1.721390,2
411,1.476968,3
412,1.649335,0
413,1.533738,1
414,1.720140,2
415,1.480422,3
416,1.650074,0
417,1.537270,1
418,1.720456,2
419,1.479370,3
420,1.647578,0
421,1.536444,1
422,1.721056,2
423,1.482902,3
424,1.648505,0
425,1.535053,1
426,1.719883,2
427,1.479825,3
428,1.650021,0
429,1.531571,1
430,1.721650,2
431,1.481306,3
432,1.652261,0
433,1.539499,1
434,1.719362,2
435,1.479928,3
436,1.650020,0
437,1.538884,1
438,1.716538,2
439,1.480972,3
440,1.647058,0
441,1.529837,1
442,1.715958,2
443,1.477236,3
444,1.652138,0
445,1.533263,1
446,1.719545,2
447,1.477673,3
448,1.651222,0
449,1.532796,1
450,1.722635,2
451,1.478014,3
452,1.648470,0
453,1.535245,1
454,1.720049,2
455,1.482849,3
456,1.650241,0
457,1.532584,1
458,1.718879,2
459,1.478854,3
460,1.651450,0
461,1.535768,1
462,1.719761,2
463,1.481739,3
464,1.648943,0
465,1.534728,1
466,1.720362,2
467,1.483056,3
468,1.649803,0
469,1.534298,1
470,1.717908,2
471,1.481372,3
472,1.648825,0
473,1.535687,1
474,1.716197,2
475,1.482086,3
476,1.647336,0
477,1.533445,1
478,1.722117,2
479,1.477331,3
480,1.649841,0
481,1.535149,1
482,1.718003,2
483,1.482686,3
484,1.652998,0
485,1.531057,1
486,1.717102,2
487,1.481616,3
488,1.647394,0
489,1.534223,1
490,1.720259,2
491,1.481384,3
492,1.649553,0
493,1.535190,1
494,1.718447,2
495,1.482585,3
496,1.649009,0
497,1.535679,1
498,1.718977,2
499,1.480213,3
500,1.649664,0
501,1.534675,1
502,1.717972,2
503,1.481593,3
504,1.652828,0
505,1.535486,1
506,1.721465,2
507,1.481676,3
508,1.651856,0
509,1.535607,1
510,1.720425,2
511,1.481728,3
512,1.650138,0
513,1.533052,1
514,1.720048,2
515,1.476223,3
516,1.649988,0
517,1.535827,1
518,1.722472,2
519,1.480303,3
520,1.651856,0
521,1.534999,1
522,1.717953,2
523,1.477177,3
524,1.648061,0
525,1.532268,1
526,1.721267,2
527,1.479585,3
528,1.651141,0
529,1.535147,1
530,1.722088,2
531,1.482120,3
532,1.648709,0
533,1.534451,1
534,1.718934,2
535,1.476757,3
536,1.651350,0
537,1.537378,1
538,1.719987,2
539,1.479014,3
540,1.652182,0
541,1.530310,1
542,1.720355,2
543,1.480287,3
544,1.648858,0
545,1.537783,1
546,1.721941,2
547,1.479478,3
548,1.649827,0
549,1.534224,1
550,1.718976,2
551,1.477384,3
552,1.652760,0
553,1.537056,1
554,1.721596,2
555,1.477811,3
556,1.654162,0
557,1.538960,1
558,1.720376,2
559,1.478192,3
560,1.648267,0
561,1.535837,1
562,1.718174,2
563,1.479932,3
564,1.652177,0
565,1.531986,1
566,1.724011,2
567,1.483133,3
568,1.647526,0
569,1.532173,1
570,1.719433,2
571,1.477938,3
572,1.649473,0
573,1.529838,1
574,1.719543,2
575,1.483606,3
576,1.647767,0
577,1.534454,1
578,1.717021,2
579,1.481276,3
580,1.649549,0
581,1.538881,1
582,1.720414,2
583,1.479256,3
584,1.651101,0
585,1.533988,1
586,1.717321,2
587,1.480604,3
588,1.649650,0
589,1.535333,1
590,1.720751,2
591,1.478979,3
592,1.650843,0
593,1.538475,1
594,1.717784,2
595,1.483475,3
596,1.649514,0
597,1.533467,1
598,1.724854,2
599,1.480310,3
600,1.652741,0
601,1.536635,1
602,1.716639,2
603,1.480242,3
604,1.648949,0
605,1.532316,1
606,1.716457,2
607,1.480205,3
608,1.651181,0
609,1.535781,1
610,1.719388,2
611,1.478403,3
612,1.648026,0
613,1.533890,1
614,1.717934,2
615,1.479593,3
616,1.649954,0
617,1.533208,1
618,1.719536,2
619,1.478479,3
620,1.649991,0
621,1.536014,1
622,1.720356,2
623,1.480944,3
624,1.646696,0
625,1.534243,1
626,1.720553,2
627,1.481282,3
628,1.646804,0
629,1.535318,1
630,1.722413,2
631,1.479643,3
632,1.649810,0
633,1.535901,1
634,1.720494,2
635,1.481349,3
636,1.650145,0
637,1.535305,1
638,1.718435,2
639,1.479659,3
640,1.652506,0
641,1.534592,1
642,1.719663,2
643,1.479017,3
644,1.651574,0
645,1.533291,1
646,1.721821,2
647,1.478126,3
648,1.647884,0
649,1.535412,1
650,1.720260,2
651,1.480595,3
652,1.652125,0
653,1.534175,1
654,1.720886,2
655,1.478180,3
656,1.652518,0
657,1.536265,1
658,1.721073,2
659,1.480376,3
660,1.648429,0
661,1.534345,1
662,1.721004,2
663,1.479962,3
664,1.650247,0
665,1.532280,1
666,1.720362,2
667,1.478616,3
668,1.647833,0
669,1.534691,1
670,1.716287,2
671,1.481397,3
672,1.651704,0
673,1.534893,1
674,1.718012,2
675,1.478109,3
676,1.649698,0
677,1.530153,1
678,1.720361,2
679,1.481329,3
680,1.649376,0
681,1.534011,1
682,1.720364,2
683,1.480701,3
684,1.652188,0
685,1.535037,1
686,1.718620,2
687,1.479077,3
688,1.650364,0
689,1.538112,1
690,1.719359,2
691,1.477895,3
692,1.648260,0
693,1.530807,1
694,1.720660,2
695,1.477277,3
696,1.647533,0
697,1.531048,1
698,1.717764,2
699,1.481137,3
700,1.647377,0
701,1.531501,1
702,1.720357,2
703,1.479318,3
704,1.650864,0
705,1.536481,1
706,1.719983,2
707,1.477404,3
708,1.649752,0
709,1.536001,1
710,1.718834,2
711,1.477125,3
712,1.652205,0
713,1.534170,1
714,1.719182,2
715,1.480032,3
716,1.652061,0
717,1.535527,1
718,1.719334,2
719,1.481364,3
720,1.654294,0
721,1.537776,1
722,1.721346,2
723,1.477755,3
724,1.657504,0
725,1.532603,1
726,1.719256,2
727,1.478600,3
728,1.653254,0
729,1.535840,1
730,1.717146,2
731,1.480535,3
732,1.651094,0
733,1.534363,1
734,1.717560,2
735,1.478550,3
736,1.649126,0
737,1.535045,1
738,1.718960,2
739,1.481470,3
740,1.648100,0
741,1.531537,1
742,1.718521,2
743,1.482698,3
744,1.648854,0
745,1.539682,1
746,1.720983,2
747,1.477671,3
748,1.648331,0
749,1.535487,1
750,1.717645,2
751,1.484749,3
752,1.648018,0
753,1.536362,1
754,1.722920,2
755,1.479782,3
756,1.648008,0
757,1.534454,1
758,1.720724,2
759,1.481752,3
760,1.650113,0
761,1.532200,1
762,1.720085,2
763,1.478653,3
764,1.645634,0
765,1.533605,1
766,1.717135,2
767,1.481174,3
768,1.653888,0
769,1.538718,1
770,1.718854,2
771,1.479065,3
772,1.651378,0
773,1.537123,1
774,1.719163,2
775,1.479715,3
776,1.654414,0
777,1.534785,1
778,1.719029,2
779,1.480240,3
780,1.651159,0
781,1.532957,1
782,1.719503,2
783,1.477667,3
784,1.649443,0
785,1.538754,1
786,1.721483,2
787,1.479815,3
788,1.648134,0
789,1.534377,1
790,1.722101,2
791,1.478877,3
792,1.652901,0
793,1.532253,1
794,1.719420,2
795,1.483486,3
796,1.645984,0
797,1.537377,1
798,1.716297,2
799,1.479820,3
800,1.649655,0
801,1.536649,1
802,1.713691,2
803,1.476164,3
804,1.648868,0
805,1.535074,1
806,1.718214,2
807,1.479558,3
808,1.647628,0
809,1.534197,1
810,1.718306,2
811,1.480488,3
812,1.651163,0
813,1.537866,1
814,1.718687,2
815,1.479364,3
816,1.650095,0
817,1.534410,1
818,1.719896,2
819,1.476876,3
820,1.650744,0
821,1.533170,1
822,1.718086,2
823,1.476824,3
824,1.652322,0
825,1.534719,1
826,1.722299,2
827,1.480545,3
828,1.646593,0
829,1.532833,1
830,1.721516,2
831,1.478469,3
832,1.647819,0
833,1.534641,1
834,1.719646,2
835,1.477976,3
836,1.649348,0
837,1.534043,1
838,1.714820,2
839,1.481005,3
840,1.648377,0
841,1.537609,1
842,1.717700,2
843,1.476841,3
844,1.652375,0
845,1.531830,1
846,1.718728,2
847,1.481195,3
848,1.649341,0
849,1.531689,1
850,1.720376,2
851,1.479611,3
852,1.652568,0
853,1.536177,1
854,1.726071,2
855,1.476708,3
856,1.649957,0
857,1.532867,1
858,1.722310,2
859,1.481644,3
860,1.651508,0
861,1.533445,1
862,1.718510,2
863,1.475941,3
864,1.653419,0
865,1.536016,1
866,1.719478,2
867,1.481867,3
868,1.651502,0
869,1.536951,1
870,1.716753,2
871,1.478572,3
872,1.650391,0
873,1.535711,1
874,1.721914,2
875,1.477983,3
876,1.650254,0
877,1.539411,1
878,1.721384,2
879,1.481741,3
880,1.649962,0
881,1.536535,1
882,1.723608,2
883,1.480213,3
884,1.652448,0
885,1.533250,1
886,1.721180,2
887,1.481808,3
888,1.648496,0
889,1.537196,1
890,1.718650,2
891,1.478390,3
892,1.649998,0
893,1.538864,1
894,1.720618,2
895,1.481872,3
896,1.648536,0
897,1.535155,1
898,1.717647,2
899,1.478858,3
900,1.651671,0
901,1.534923,1
902,1.722903,2
903,1.479595,3
904,1.649604,0
905,1.537553,1
906,1.718703,2
907,1.476960,3
908,1.652603,0
909,1.535828,1
910,1.715670,2
911,1.480089,3
912,1.649192,0
913,1.538490,1
914,1.718542,2
915,1.478838,3
916,1.648179,0
917,1.532892,1
918,1.718599,2
919,1.477128,3
920,1.647938,0
921,1.531787,1
